frame,player_id,x,y,w,h,cx,cy,area
50,1,915,750,61,147,946.2026359143327,833.1875735467169,4249
50,2,897,922,30,42,912.6252072968491,948.4029850746268,603
51,1,915,749,61,149,947.079180509413,834.873754152824,3612
51,2,898,927,30,39,914.5058823529412,951.135294117647,510
52,1,942,782,35,120,958.3163371488033,835.184703433923,1922
52,2,915,860,28,38,928.3046757164404,877.8235294117648,663
53,1,944,782,44,138,962.5983086680761,845.1680761099366,1892
53,2,914,861,26,36,925.1070038910506,878.0136186770428,514
54,1,944,816,30,61,959.2708978328174,843.2445820433436,646
59,1,868,935,30,41,882.2586520947177,961.4881602914389,549
60,1,908,865,62,43,942.1395833333333,886.6041666666666,960
60,2,978,952,33,28,996.234126984127,969.0376984126984,504
61,1,906,866,65,48,939.3687242798354,889.7917695473251,1215
62,1,904,866,66,46,939.1293047433398,892.143599740091,1539
63,1,901,866,72,66,939.4083166332665,897.4954909819639,1996
64,1,894,867,75,57,936.3143428285857,898.3953023488256,2001
64,2,863,948,32,35,879.0340909090909,969.6988636363636,528
65,1,890,850,75,71,925.4845488257107,894.6266996291719,2427
65,2,857,948,40,35,877.3957055214723,969.7638036809816,652
66,1,882,823,76,104,912.6961891319689,887.059633027523,2834
66,2,855,949,41,34,875.0126582278481,970.446835443038,790
67,1,877,809,76,118,906.1339563862929,880.8791277258567,3210
67,2,852,950,44,34,874.8097165991903,971.8326585695007,741
68,1,866,791,80,139,895.1832701678397,869.4328641039524,3694
68,2,849,935,45,50,872.43359375,968.83203125,768
69,1,855,788,57,129,880.6684809500248,860.5534388916378,4042
69,2,849,915,41,70,867.8901869158879,955.963785046729,856
70,1,846,798,64,187,874.6488504617803,878.9589310277069,5089
71,1,839,793,67,179,868.4179403202329,871.8213245997089,5496
72,1,823,781,69,139,858.4152507252383,857.1502279320348,4826
72,2,837,917,48,67,860.9325443786983,956.6130177514793,845
73,1,814,779,73,152,853.1849234393404,859.3455045151159,5094
73,2,843,935,37,49,863.0180722891566,963.9503012048193,664
74,1,798,776,84,208,845.731998013574,869.7897699056448,6041
75,1,783,774,85,151,833.1107128634011,851.5657108721625,5022
75,2,812,927,58,58,841.4219653179191,961.5260115606936,1211
76,1,775,773,89,152,828.2110350382602,851.4899315344342,4966
76,2,814,926,48,58,842.8595041322315,957.0013774104683,726
77,1,800,772,52,134,823.9673405909798,844.3983929497149,3858
77,2,787,956,60,31,821.5634285714285,972.4617142857143,875
78,1,779,772,63,216,809.1023355321804,881.241219468711,5609
79,1,748,772,89,216,800.7821005176156,878.0,5989
80,1,738,772,88,198,791.3922932330827,863.2302631578947,5320
80,2,744,950,70,37,785.6263498920086,970.4006479481642,926
81,1,732,772,85,218,782.5671905067351,879.5774534958307,6236
81,2,999,187,21,46,1007.1912045889102,209.02868068833652,523
82,1,731,772,81,218,778.598738170347,880.3271293375394,6340
82,2,998,187,22,45,1006.8598949211909,209.20840630472856,571
83,1,726,772,77,136,773.2055012502841,848.6881109343033,4399
83,2,737,908,60,82,767.4886988393403,950.1747098350642,1637
84,1,721,771,74,145,764.8785523978686,849.6789520426288,4504
84,2,737,921,56,68,760.5959153902261,952.9314369073669,1371
85,1,723,771,68,219,759.3830871115639,875.3525216505349,5889
85,2,989,187,30,60,1002.3839373163565,213.93535749265425,1021
86,1,717,769,66,155,753.4316499782325,848.5872877666521,4594
86,2,711,928,54,62,742.1042857142858,950.8828571428571,1400
87,1,709,768,65,158,745.3761626649361,847.8038070516981,4623
87,2,969,188,46,83,995.7826086956521,222.80324244657334,1357
88,1,706,767,64,158,741.5955441302485,846.7564267352185,4668
88,2,969,188,45,83,995.6521739130435,223.14558629776022,1518
89,1,699,765,63,159,734.647824136384,844.9208165096455,4458
89,2,970,188,43,84,995.0562169312169,224.04497354497354,1512
90,1,694,761,61,160,726.806061847225,842.2510751587139,4883
90,2,970,188,44,82,994.8779822767552,222.63122017723245,1467
91,1,689,759,63,161,723.3930575763875,840.4749532321763,4811
91,2,686,927,77,61,734.6818558409279,957.814415907208,1207
92,1,677,755,68,164,719.4310864025944,833.7771600648598,4317
92,2,970,188,46,78,994.3056951423786,220.4497487437186,1194
93,1,698,752,42,147,719.5770010131712,824.831560283688,3948
93,2,972,187,44,77,993.5337533753375,219.84428442844285,1111
94,1,693,751,46,135,716.2707340324118,820.9885605338418,4196
94,2,972,187,34,77,989.131227217497,218.74969623329284,823
95,1,681,747,57,135,711.1016688625384,816.631093544137,4554
95,2,972,187,34,76,989.2374839537869,218.21437740693196,779
96,1,681,744,54,145,707.070838496489,815.0883932259397,4842
96,2,973,187,33,73,989.656862745098,216.91176470588235,714
97,1,680,742,55,154,705.0212808672957,814.23469182895,4981
98,1,675,739,61,157,701.1488275340394,812.767019667171,5288
99,1,671,736,66,161,697.6184115523465,812.7469314079423,5540
100,1,670,736,65,213,698.2183468705208,827.0995381430164,6279
100,2,973,195,33,65,989.666083916084,226.52797202797203,572
101,1,668,734,58,217,694.8208380157329,827.8869802536523,6229
101,2,976,199,32,61,990.7372881355932,228.1135593220339,590
102,1,667,734,62,154,691.3700118530226,815.8115369419202,5062
102,2,970,199,38,80,987.8124318429662,238.40894220283533,917
103,1,665,734,63,150,690.318511627907,812.5274418604652,5375
103,2,972,197,41,81,988.3198847262248,236.50816522574448,1041
104,1,664,734,57,150,686.9303463118763,815.0021522207004,5111
104,2,969,193,43,85,986.0742857142857,232.53714285714287,1225
105,1,659,735,52,149,683.8578827429045,817.5769629169256,4827
105,2,964,189,49,71,983.608310626703,224.04359673024524,1468
106,1,655,774,54,112,683.5906217070601,833.218124341412,3796
106,2,962,176,50,84,981.6301864101022,221.92242934455803,1663
107,1,650,740,59,147,679.2446952595936,822.4801354401806,4430
107,2,956,177,56,84,976.667429879794,223.0532341156268,1747
108,1,645,776,71,112,679.0415094339622,834.4550943396226,3975
108,2,948,188,55,76,972.2626076260763,227.3690036900369,1626
109,1,642,779,73,111,678.2910040351294,835.605269404225,4213
109,2,944,189,48,75,967.5153024911032,223.78718861209964,1405
110,1,640,782,71,111,674.2282168186423,841.6322188449848,3948
110,2,932,178,46,81,958.0583850931677,220.26832298136645,1610
111,1,642,782,76,113,676.941672692215,842.1911303928657,4149
111,2,922,189,54,69,951.0687679083095,222.69398280802292,1745
112,1,643,783,71,111,677.1227844849731,843.7061392242487,3893
112,2,918,188,57,70,946.2121580547113,220.5562310030395,1645
113,1,647,791,73,101,681.943411927878,843.8402219140083,3605
113,2,909,188,67,69,936.0153550863723,219.4165067178503,1563
114,1,652,791,86,99,690.5074192609834,842.1344195519348,3437
114,2,901,187,43,73,921.4518218623482,218.5246963562753,1235
115,1,655,798,86,90,694.278064516129,842.7967741935483,3100
115,2,898,186,39,76,917.533721898418,219.4271440466278,1201
116,1,677,741,56,146,708.4494530991051,819.5538614517733,3017
116,2,890,188,44,77,911.4080996884735,220.17133956386292,1284
117,1,685,738,59,147,716.4472716991801,815.1874469889738,3537
117,2,878,177,57,88,901.656626506024,222.7313253012048,1660
118,1,689,737,60,147,720.780895522388,814.0286567164179,3350
118,2,875,174,38,82,893.4108478802992,219.21571072319202,1604
119,1,693,736,63,149,727.278293135436,815.8462761728068,3773
119,2,862,188,40,63,881.0604586518416,218.9819318971508,1439
120,1,704,737,58,148,733.5418255214173,817.3511998205876,4459
120,2,850,184,38,69,867.4667630057803,217.44580924855492,1384
121,1,708,737,58,149,736.020399113082,819.5161862527716,4510
121,2,844,187,37,68,861.8912721893491,217.9008875739645,1352
122,1,716,740,58,149,743.2789655874567,821.3962533088984,4911
122,2,831,188,42,70,852.3333333333334,222.60828241683637,1473
123,1,722,741,60,152,750.9238578680203,821.5944726452341,5319
123,2,813,171,43,87,837.2857142857143,214.14426460239267,1421
124,1,725,741,63,149,755.3904867256637,820.9100294985251,5424
124,2,806,171,45,83,830.1704063068527,214.2025469981807,1649
125,1,733,739,66,147,765.6020658263305,817.4921218487395,5712
125,2,792,173,52,82,816.8055555555555,215.43912529550826,1692
126,1,746,737,65,149,776.8775862068966,814.0744827586207,5800
126,2,776,176,61,78,801.851763299462,214.68141063956963,1673
127,1,752,734,65,148,782.696068197634,811.4119693806541,5748
127,2,770,176,62,78,794.4270525694034,214.92262256349676,1693
128,1,761,731,66,148,792.9256461899967,808.9415911379658,5958
128,2,754,178,68,78,780.23715651135,216.93966547192355,1674
129,1,771,727,66,149,803.1673353393514,805.1412571046473,5982
129,2,744,180,72,75,772.9814200398142,215.18380889183808,1507
130,1,776,726,64,150,808.0944249121045,803.4398124895363,5973
130,2,738,182,67,76,763.5055408970976,220.88654353562006,1895
131,1,785,724,65,149,817.9909277644642,800.0155768572407,5842
131,2,727,184,55,75,752.035590706871,222.3410776075136,2023
132,1,795,724,64,159,827.8779018252702,799.4107744107744,5643
132,2,717,185,49,70,740.9852040816327,221.47244897959183,1960
133,1,800,724,64,182,832.0904090752836,802.9926091440358,5818
133,2,712,185,50,71,735.6228070175439,219.74122807017545,1824
134,1,811,726,63,151,842.6078466823359,800.7627915386006,5531
134,2,703,182,49,72,725.7938885560216,215.59436788496106,1669
135,1,822,727,97,189,856.8058968058969,809.4488124488124,6105
135,2,694,178,47,74,715.5933297471759,216.1554599246907,1859
136,1,828,727,104,190,863.904326923077,811.6435897435897,6240
136,2,691,177,45,75,710.6729122055674,215.9453961456103,1868
137,1,836,727,69,144,869.3627614288358,800.7877105311863,5403
137,2,675,174,51,78,701.3921251348436,216.48543689320388,1854
138,1,850,725,65,147,882.1149932808601,798.2808600499136,5209
138,2,662,172,53,81,691.5817535545024,218.0616113744076,1688
139,1,852,724,69,154,887.9850444624091,796.5812449474536,4948
139,2,656,171,54,83,686.7195402298851,217.90977011494252,1740
140,1,865,722,67,155,898.2117061021171,792.1367372353674,4015
140,2,645,173,55,81,678.3176746917205,218.1074574280681,1703
141,1,893,720,53,126,913.3881154499151,776.9928692699491,2945
141,2,635,188,58,64,669.9845869297164,218.80887792848335,1622
142,1,900,720,54,90,926.3888436482084,764.23167752443,2456
142,2,631,187,59,65,666.4248120300751,218.02380952380952,1596
143,1,911,717,56,89,938.895227008149,762.3674815677144,2577
143,2,626,187,59,65,661.321095208463,216.95581829495956,1607
144,1,921,715,58,141,950.3792907801419,776.1917730496453,3525
144,2,607,188,73,81,653.2295684113866,227.6510560146924,2178
145,1,926,715,59,195,954.1832712940661,795.8530764177797,4567
145,2,621,188,58,64,655.2705811138014,216.68523002421307,1652
146,1,935,714,61,160,964.7457191780821,785.8724315068494,4672
146,2,606,187,69,81,648.6953046953047,225.64485514485514,2002
147,1,946,714,66,190,976.2229310973387,797.510207801677,5486
147,2,605,188,69,80,646.983991995998,225.56778389194596,1999
148,1,952,714,58,142,980.9032458135208,784.5023775067191,4837
148,2,606,188,67,80,646.4246506986028,225.35778443113773,2004
149,1,966,713,61,136,993.1206290088971,784.2708462652597,4833
149,2,606,187,67,81,646.3470909995027,224.53406265539533,2011
150,1,979,711,64,137,1004.0738839285714,782.8011160714286,4480
150,2,606,187,69,81,647.2444020962363,224.66317293949498,2099
151,1,985,710,62,138,1009.8847281750508,781.9557861493346,4433
151,2,605,184,72,84,648.4684601113172,222.92532467532467,2156
152,1,997,708,57,135,1022.0383008356546,779.5605849582173,4308
152,2,619,182,63,66,655.7406356413167,210.94154370034053,1762
153,1,1010,707,58,132,1035.2965806001396,778.7887880902535,4299
153,2,621,165,67,80,660.8987939171474,207.65652857891976,1907
154,1,1016,706,56,133,1040.3660019455253,778.0301556420234,4112
154,2,624,163,68,82,663.7077789150461,205.83213920163766,1954
155,1,1022,705,60,138,1050.4738760631835,777.8558930741191,4115
155,2,628,161,70,81,667.6560264171711,201.95707209686296,1817
156,1,1032,702,56,174,1058.5869565217392,787.0093478260869,4600
156,2,636,161,68,80,673.5044444444444,201.2838888888889,1800
157,1,1041,701,51,176,1064.089412811388,784.9048042704626,4496
157,2,638,162,68,81,675.886586695747,202.3391494002181,1834
158,1,1049,698,55,196,1076.3001402524544,789.9763574433981,4991
158,2,650,163,61,87,681.3657684630739,206.07634730538922,2004
159,1,1057,695,73,143,1085.0374845869296,766.321085080148,4055
159,2,663,162,53,87,688.1767490794318,204.58916359810627,1901
160,1,1062,694,53,142,1086.5925425560658,765.7335855174277,3701
160,2,669,161,49,87,692.0270118176702,201.92740574001127,1777
161,1,1070,693,56,159,1095.2589309696482,768.0899811979587,3723
161,2,670,158,54,89,697.803790412486,201.2391304347826,1794
162,1,1078,691,56,160,1103.6781789638933,768.5300889586604,3822
162,2,677,156,53,90,704.6802356722014,200.98607391537226,1867
163,1,1081,690,56,150,1107.192212096106,764.6089478044739,3621
163,2,682,159,51,89,708.0992529348986,200.79615795090714,1874
164,1,1089,689,52,150,1114.8696022727272,763.1835227272727,3520
164,2,692,155,48,96,715.8427807486631,200.6438502673797,1870
165,1,1097,688,51,150,1122.602811950791,761.949619214997,3414
165,2,705,164,42,90,723.9741189427313,201.37885462555067,1816
166,1,1101,688,51,147,1126.4361963190183,760.448773006135,3260
166,2,707,155,44,99,727.9389865563599,200.27817993795244,1934
167,1,1109,689,61,144,1135.6593536910761,758.0349836940409,3373
167,2,715,159,44,94,735.4183820009574,202.63331737673528,2089
168,1,1116,691,76,139,1144.1169139465876,758.2169139465875,3370
168,2,722,157,43,105,742.8845265588915,204.48406466512702,2165
169,1,1113,692,70,151,1145.3844870725604,764.1520711704198,3597
169,2,727,162,41,87,745.9902857142857,197.77885714285713,1750
170,1,1125,693,83,143,1154.3029947152083,760.1438637698179,3406
170,2,735,158,39,91,753.633295194508,197.20366132723112,1748
171,1,1130,694,59,118,1158.9488202060486,756.2386174808906,3009
171,2,743,156,38,72,761.768125,194.425625,1600
172,1,1133,693,61,119,1162.441447159632,754.9904792129482,3151
172,2,747,157,37,68,765.2611749680715,194.47190293742017,1566
173,1,1138,694,72,116,1168.5014182161992,754.9335014182162,3173
173,2,755,163,35,63,772.024,196.67066666666668,1500
174,1,1143,694,65,116,1173.915082771306,755.8715511955855,3262
174,2,763,162,34,67,779.9082802547771,199.27133757961784,1570
175,1,1146,693,63,116,1176.841912884557,754.9832470301553,3283
175,2,767,167,34,63,783.757003257329,200.8768729641694,1535
176,1,1151,691,61,121,1181.4522417153996,755.4311241065627,3078
176,2,775,168,33,63,791.3944706675658,201.94403236682402,1483
177,1,1156,688,69,160,1188.2953611274222,761.6811509101585,3406
177,2,781,172,33,61,797.3062200956938,201.5146958304853,1463
178,1,1158,685,62,116,1186.6974074074074,742.6477777777778,2700
178,2,784,163,33,69,799.7199211045365,199.6265614727153,1521
179,1,1162,679,60,113,1191.6766195681153,741.1039722740602,3751
179,2,788,164,35,65,804.0769230769231,197.2959582790091,1534
180,1,1164,680,60,109,1193.2012717045732,733.9525556370751,4089
180,2,792,157,33,67,807.6375574523965,193.51739986868023,1523
181,1,1165,680,65,107,1194.2754932255764,731.5647729973853,4207
181,2,793,156,33,68,809.2556591211718,192.25099866844207,1502
182,1,1160,667,75,117,1196.185049300619,725.9094244439349,4361
182,2,797,154,33,70,812.5556328233658,190.92628650904032,1438
183,1,1163,662,103,122,1203.2140198511165,720.8424317617867,4836
183,2,800,153,34,71,816.0035637918745,190.1111903064861,1403
184,1,1170,659,74,128,1201.8652644731362,718.8225739275302,4802
184,2,802,157,34,66,816.690494296578,191.88821292775665,1315
185,1,1169,654,65,129,1200.4926851226649,719.4197614224623,4443
185,2,806,155,42,87,822.6566617862372,196.06002928257686,1366
186,1,1174,650,58,128,1202.512988532647,717.5267961619471,4273
186,2,809,170,35,53,823.9005376344086,196.09318996415772,1116
187,1,1176,679,56,97,1201.0771130625685,724.9890230515916,3644
187,2,811,172,45,68,828.0948062654576,200.41549876339653,1213
188,1,1174,646,56,129,1204.8792890644286,717.3110343125154,4051
188,2,808,177,44,71,827.6565573770491,205.37213114754098,1220
189,1,1173,645,59,129,1206.4066132782227,718.0498579178507,3871
189,2,809,185,48,65,832.0314262691378,208.79935535858178,1241
190,1,1174,645,60,129,1206.6102577453787,719.1280916428013,3841
190,2,810,186,49,64,834.9830097087379,209.10922330097088,1236
191,1,1174,646,62,130,1205.6099824429396,718.8347128166541,3987
191,2,812,184,53,66,841.0708782742681,209.08859784283513,1298
192,1,1174,647,61,132,1204.3323863636363,720.9196797520661,3872
192,2,828,164,52,76,853.5145700071073,205.15067519545133,1407
193,1,1174,647,60,134,1204.5299701654462,721.7282343368593,3687
193,2,838,171,45,71,858.579268292683,206.5091463414634,1312
194,1,1171,647,60,137,1202.7107683982683,722.4193722943722,3696
194,2,826,172,58,74,862.6895465994962,209.2588161209068,1588
195,1,1174,648,53,141,1201.9079475515118,723.7655873695478,3737
195,2,840,172,54,75,869.9653215636822,210.39911727616646,1586
196,1,1179,648,46,139,1201.1412182463807,722.0021851953019,3661
196,2,848,173,42,74,871.7215189873418,212.3087201125176,1422
197,1,1173,677,50,108,1198.7732240437158,725.4629629629629,3294
197,2,862,165,50,82,883.7490909090909,204.94836363636364,1375
198,1,1164,647,56,128,1193.6740681998415,711.6587364525509,3783
198,2,879,166,42,73,894.8094488188976,202.75590551181102,1270
199,1,1161,645,58,133,1192.2339939024391,711.4448678861788,3936
199,2,882,164,40,72,898.8884263114072,202.12323064113238,1201
200,1,1157,640,69,203,1194.1845450933652,728.8518077075884,5034
200,2,895,168,35,70,911.0280373831775,202.11869158878505,1070
201,1,1152,635,72,206,1188.886969871426,721.5306083285358,5211
201,2,907,187,26,56,918.6256345177665,209.0507614213198,788
202,1,1149,633,75,120,1182.0279702970297,695.784900990099,4040
202,2,899,186,37,58,921.520120724346,213.72032193158952,994
203,1,1148,629,71,127,1179.1679284239503,695.4046799724707,4359
203,2,921,152,33,95,936.3351226993865,197.73006134969324,1304
204,1,1144,627,66,132,1175.570305862362,697.322005097706,4708
204,2,931,170,33,69,944.9218870843001,205.4338747099768,1293
205,1,1141,627,65,130,1173.8538036549087,697.1634084147896,4706
205,2,923,163,50,100,949.8374695863747,215.21362530413626,2055
206,1,1139,625,57,128,1170.5982905982905,694.035112035112,4329
206,2,928,150,56,112,963.8743529411764,211.3595294117647,2125
207,1,1132,622,70,165,1167.4014921893215,693.2082070412683,4289
207,2,949,164,48,97,974.8238283455674,213.00282326369282,1771
208,1,1126,620,64,125,1162.1558507920286,684.1394992335207,3914
208,2,958,166,45,94,981.3954965357967,212.28983833718246,1732
209,1,1121,614,61,118,1154.1408970976254,676.0218997361477,3790
209,2,979,167,36,72,995.30329847144,200.3821399839099,1243
210,1,1113,608,96,193,1150.045653907496,691.9318181818181,5016
210,2,991,148,35,90,1008.9809523809524,195.34166666666667,1680
211,1,1109,606,98,193,1147.175801867641,688.5263905805928,4926
211,2,996,149,36,90,1013.3595206391478,193.0705725699068,1502
212,1,1102,600,89,188,1138.0546828395306,681.9258301849275,5029
212,2,1013,161,30,33,1026.345080763583,178.19089574155655,681
213,1,1096,596,60,163,1125.8450768877667,667.4282763369291,4357
213,2,1024,150,36,66,1041.7315140845071,183.08978873239437,1136
